Id;ticker_BCh;company_BCh;tickersect;sector;Market CapFV;ExchangeFV;Country
6296;RNF;Rentech Nitrogen Partners L.P.;DJUSCX;SPECIALTY CHEMICALS;424.51;NYSE;USA
6191;RENT;Rentrak Corp.;DJUSIV;BUSINESS SUPPORT SERVICES;954.48;NASDAQ;USA
6192;REPCF;RepliCel Life Sciences Inc.;DJUSPM;GOLD MINING;;;
6223;RGEN;Repligen Corp.;DJUSBT;BIOTECHNOLOGY;787.19;NASDAQ;USA
6194;REPR;Repro-Med Systems Inc.;DJUSAM;MEDICAL EQUIPMENT;;;
6337;RPRX;Repros Therapeutics Inc.;DJUSPR;PHARMACEUTICALS;150.22;NASDAQ;USA
6195;REPYY;Repsol S.A. ADS;DJUSOL;INTEGRATED OIL & GAS;;;
6260;RJET;Republic Airways Holdings Inc.;DJUSAR;AIRLINES;576.04;NASDAQ;USA
6118;RBCAA;Republic Bancorp Inc. (Kentucky) Cl A;DJUSBK;BANKS;482.12;NASDAQ;USA
2927;FRBK;Republic First Bancorp Inc.;DJUSBK;BANKS;145.19;NASDAQ;USA
6353;RSG;Republic Services Inc.;DJUSPC;WASTE & DISPOSAL SERVICES;13957.67;NYSE;USA
6197;RESCU;ResCap Liquidating Trust;DJUSMF;MORTAGE FINANCE;;;
6177;REFR;Research Frontiers Inc.;DJUSAI;ELECTRONIC EQUIPMENT;119.41;NASDAQ;USA
6365;RSSS;Research Solutions Inc.;DJUSIV;BUSINESS SUPPORT SERVICES;;;
6394;RVRLF;Reservoir Minerals Inc.;DJUSMD;GENERAL MINING;;;
6283;RMD;ResMed Inc.;DJUSAM;MEDICAL EQUIPMENT;7269.8;NYSE;USA
6188;REN;Resolute Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;292.09;NYSE;USA
6214;RFP;Resolute Forest Products Inc.;DJUSPP;PAPER;;;
6199;RESN;Resonant Inc.;DJUSEC;ELECTRICAL COMPONENTS & EQUIPMENT;40.23;NASDAQ;USA
6205;REXI;Resource America Inc. Cl A;DJUSAG;ASSET MANAGERS;193.12;NASDAQ;USA
6359;RSO;Resource Capital Corp.;DJUSMR;MORTGAGE;678.26;NYSE;USA
6361;RSO.PB;Resource Capital Corp. 8.25% Cum. Redeem. Pfd. Series B;DJUSMR;MORTGAGE;;;
6360;RSO.PA;Resource Capital Corp. 8.5% Cum. Redeem. Pfd. Series A;DJUSMR;MORTGAGE;;;
6362;RSO.PC;Resource Capital Corp. 8.625% Pfd. Series C;DJUSMR;MORTGAGE;;;
6202;REVI;Resource Ventures Inc.;DJUSSP;SPECIALTY FINANCE;;;
6171;RECN;Resources Connection Inc.;DJUSIV;BUSINESS SUPPORT SERVICES;557.87;NASDAQ;USA
6416;RYUN;Respect Your Universe Inc;DJUSCF;CLOTHING & ACCESSORIES;;;
6334;RPBIF;Response Biomedical Corp.;DJUSMS;MEDICAL SUPPLIES;;;
6222;RGDX;Response Genetics Inc.;DJUSBT;BIOTECHNOLOGY;24.31;NASDAQ;USA
6232;RH;Restoration Hardware Holdings Inc.;DJUSHI;HOME IMPROVEMENT RETAILERS;3059.27;NYSE;USA
6200;RESX;RestorGenex Corp.;DJUSRQ;RECREATIONAL SERVICES;;;
6315;ROIC;Retail Opportunity Investment Corp.;DJUSRL;RETAIL REITS;1424.19;NASDAQ;USA
6332;RPAI;Retail Properties of America Inc.;DJUSRL;RETAIL REITS;3683.86;NYSE;USA
6333;RPAI.PA;Retail Properties of America Inc. 7.00% Cum. Redeem. Pfd. Series A;DJUSRL;RETAIL REITS;;;
6433;SALE;RetailMeNot Inc. Series 1;DJUSCS;SPECIALIZED CONSUMER SERVICES;1038.92;NASDAQ;USA
6392;RVP;Retractable Technologies Inc.;DJUSMS;MEDICAL SUPPLIES;;;
6380;RTRX;Retrophin Inc.;DJUSBT;BIOTECHNOLOGY;263.6;NASDAQ;USA
6391;RVNC;Revance Therapeutics Inc.;DJUSBT;BIOTECHNOLOGY;457.35;NASDAQ;USA
6390;RVM;Revett Mining Co. Inc.;DJUSMD;GENERAL MINING;;;
6201;REV;Revlon Inc. Cl A;DJUSCM;PERSONAL PRODUCTS;1727.88;NYSE;USA
6389;RVLT;Revolution Lighting Technologies Inc.;DJUSEC;ELECTRICAL COMPONENTS & EQUIPMENT;144.6;NASDAQ;USA
6203;REVO;Revolutionary Concepts Inc.;DJUSCT;TELECOMMUNICATIONS EQUIPMENT;;;
6282;RMCP;Revolutions Medical Corp.;DJUSMS;MEDICAL SUPPLIES;;;
6398;RWLK;ReWalk Robotics Ltd.;DJUSAM;MEDICAL EQUIPMENT;;;
2579;ERNI;Rewards Nexus Inc.;DJUSIV;BUSINESS SUPPORT SERVICES;;;
6208;REXX;Rex Energy Corp.;DJUSOS;EXPLORATION & PRODUCTION ;449.65;NASDAQ;USA
6300;RNN;Rexahn Pharmaceuticals Inc.;DJUSPR;PHARMACEUTICALS;;;
6204;REXFF;Rexam PLC;DJUSCP;CONTAINERS & PACKAGING;;;
6206;REXMY;Rexam PLC ADS;DJUSCP;CONTAINERS & PACKAGING;;;
6207;REXR;Rexford Industrial Realty Inc.;DJUSIO;INDUSTRIAL & OFFICE REITS;634.49;NYSE;USA
6403;RXN;Rexnord Corp.;DJUSFE;INDUSTRIAL MACHINERY;2789.15;NYSE;USA
6101;RAI;Reynolds American Inc.;DJUSTB;TOBACCO;32700.28;NYSE;USA
6212;RFIL;RF Industries Ltd.;DJUSEC;ELECTRICAL COMPONENTS & EQUIPMENT;38.2;NASDAQ;USA
6220;RGCO;RGC Resources Inc.;DJUSGU;GAS DISTRIBUTION;95.82;NASDAQ;USA
6299;RNMBY;Rheinmetall AG ADS;DJUSAT;AUTO PARTS;;;
6301;RNO;Rhino Resource Partners L.P.;DJUSCL;COAL;118.36;NYSE;USA
6242;RICE;Rice Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;3411.46;NYSE;USA
6239;RIBT;RiceBran Technologies;DJUSFO;FARMING & FISHING;34.82;NASDAQ;USA
6240;RIBTW;RiceBran Technologies Wt;DJUSFO;FARMING & FISHING;;;
6143;RCHA;Rich Pharmaceuticals Inc.;DJUSSP;SPECIALTY FINANCE;;;
6185;RELL;Richardson Electronics Ltd.;DJUSAI;ELECTRONIC EQUIPMENT;118.84;NASDAQ;USA
6241;RIC;Richmont Mines Inc.;DJUSPM;GOLD MINING;;;
6244;RICOY;Ricoh Co. Ltd. ADS;DJUSOE;ELECTRONIC OFFICE EQUIPMENT;;;
6247;RIGL;Rigel Pharmaceuticals Inc.;DJUSPR;PHARMACEUTICALS;160.64;NASDAQ;USA
6249;RIHT;Rightscorp Inc.;DJUSIV;BUSINESS SUPPORT SERVICES;;;
5005;NAME;Rightside Group Ltd.;DJUSNS;INTERNET;175.82;NASDAQ;USA
6246;RIGH;RightSmile Inc.;DJUSVE;CONVENTIONAL ELECTRICITY;;;
6295;RNET;RigNet Inc.;DJUSDV;COMPUTER SERVICES;722.77;NASDAQ;USA
6183;REI;Ring Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;
6297;RNG;RingCentral Inc. Cl A;DJUSDV;COMPUTER SERVICES;761.06;NYSE;USA
6251;RINO;RINO International Corp.;DJUSPC;WASTE & DISPOSAL SERVICES;;;
6254;RIOM;Rio Alto Mining Ltd.;DJUSMD;GENERAL MINING;;;
6252;RIO;Rio Tinto PLC ADS;DJUSMD;GENERAL MINING;;;
6253;RIOCF;RioCan Real Estate Investment Trust Un;DJUSRL;RETAIL REITS;;;
6357;RSII;Rising India Inc.;DJUSBC;BROADCASTING & ENTERTAINMENT;;;
6256;RITT;RIT Technologies Ltd.;DJUSCT;TELECOMMUNICATIONS EQUIPMENT;;;
6116;RBA;Ritchie Bros. Auctioneers Inc.;DJUSHR;COMMERCIAL VEHICLES & TRUCKS;;;
6099;RAD;Rite Aid Corp.;DJUSRD;DRUG RETAILERS;4671.61;NYSE;USA
6387;RVBD;Riverbed Technology Inc.;DJUSCT;TELECOMMUNICATIONS EQUIPMENT;3024.91;NASDAQ;USA
6388;RVDO;Riverdale Oil & Gas Corp.;DJUSOS;EXPLORATION & PRODUCTION ;;;
6395;RVSB;Riverview Bancorp Inc.;DJUSBK;BANKS;88.76;NASDAQ;USA
6257;RIVE;Riverview Financial Corp.;DJUSBK;BANKS;;;
6259;RJDG;RJD Green Inc.;DJUSSP;SPECIALTY FINANCE;;;
6272;RLI;RLI Corp.;DJUSIP;PROPERTY & CASUALTY INSURANCE;2029.73;NYSE;USA
6274;RLJE;RLJ Entertainment Inc.;DJUSBC;BROADCASTING & ENTERTAINMENT;47.86;NASDAQ;USA
6273;RLJ;RLJ Lodging Trust;DJUSHL;HOTEL & LODGING;4120.9;NYSE;USA
6286;RMGN;RMG Networks Holding Corp.;DJUSCT;TELECOMMUNICATIONS EQUIPMENT;17.33;NASDAQ;USA
5394;OEXFF;RMP Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;
6349;RRTS;Roadrunner Transportation Systems Inc.;DJUSTS;TRANSPORTACION SERVICES;838.57;NYSE;USA
6162;RDSH;Roadships Holdings Inc.;DJUSTK;TRUCKING;;;
6235;RHI;Robert Half International Inc.;DJUSBE;BUSINESS TRAINING & EMPLYMENT;6969.66;NYSE;USA
6345;RRETY;Robinsons Retail Holdings Inc. ADS;DJUSRB;BROADLINE RETAILERS;;;
6233;RHHBY;Roche Holding AG ADS;DJUSPR;PHARMACEUTICALS;;;
6234;RHHVF;Roche Holding AG Part. Cert.;DJUSPR;PHARMACEUTICALS;;;
6150;RCPI;Rock Creek Pharmaceuticals Inc.;DJUSFO;FARMING & FISHING;50.5;NASDAQ;USA
6189;RENFF;Rock Energy Inc.;DJUSOS;EXPLORATION & PRODUCTION ;;;
2992;FUEL;Rocket Fuel Inc.;DJUSSW;SOFTWARE;627.73;NASDAQ;USA
6262;RKT;Rock-Tenn Co. Cl A;DJUSCP;CONTAINERS & PACKAGING;7220.07;NYSE;USA
6317;ROK;Rockwell Automation Corp.;DJUSFE;INDUSTRIAL MACHINERY;15070.57;NYSE;USA
1717;COL;Rockwell Collins Inc.;DJUSAS;AEROSPACE;10689.11;NYSE;USA
6291;RMTI;Rockwell Medical Inc.;DJUSMS;MEDICAL SUPPLIES;406.97;NASDAQ;USA
6146;RCKY;Rocky Brands Inc.;DJUSFT;FOOTWEAR;98.62;NASDAQ;USA
